index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,order,wait0_0,wait0_1,wait_0,wait_1,copy1_0,copy1_1,copy2_0,copy2_1,run_0,run_1,ttime_0,ttime_1,wtime_0,wtime_1
66,53,81,2,4,53,2,parallel,0.0584790279972367,True,0.0,0.000575,0.0,0.00065,0.00926534652535338,0.0034489742138248403,0.0026304347411496565,0.0002880114989238791,0.04434084501554025,0.05231649777851999,0.05651873877286562,0.057553468741389224,4.322323002270423e-05,0.0014036635184311308
67,55,81,2,4,55,2,parallel,0.060371395498805214,True,0.0,0.0006000000000000001,0.0,0.0007750000000000001,0.009287344742915593,0.003677564749523299,0.002737103252002271,0.00030538453574990854,0.046355583785043564,0.05380505997891305,0.058675595522799995,0.05942861126095522,4.45484729425516e-05,0.001537833482871065
68,57,81,2,4,57,2,parallel,0.0638505940005416,True,0.0,0.0006000000000000001,0.0,0.0007000000000000001,0.009758571784914238,0.003848258245852776,0.0028136525106674526,0.0003104130046267528,0.04831884647501283,0.05712256176411756,0.06124843122961465,0.06288828702963656,4.5497698010876775e-05,0.001501110011304263
69,59,81,2,4,59,2,parallel,0.06428207525095786,True,0.0,0.0006000000000000001,0.0,0.0007750000000000002,0.009871770798781654,0.0038433847621490713,0.002881224521843251,0.000319209742883686,0.04926772872931906,0.0574368487468746,0.06232988622286939,0.06334939298540121,4.669845293392427e-05,0.0016402297405875288
70,61,81,2,4,61,2,parallel,0.06719562324724393,True,0.0,0.0006000000000000001,0.0,0.0007750000000000001,0.01039174626203021,0.0040634477700223215,0.0030881172642693855,0.00033380901004420593,0.051571178242738824,0.06009215724043315,0.0653864012529084,0.06623891399431159,4.737250492325984e-05,0.0016349279540008865
71,63,81,2,4,63,2,parallel,0.06880442825058708,True,0.0,0.0006000000000000001,0.0,0.0007250000000000002,0.010801105516293319,0.004338710532465484,0.003027292223123368,0.00035028226193389855,0.05289742306194967,0.06156727073539514,0.06705745450381073,0.06786001926229801,4.989845911040902e-05,0.001485561235313071
72,65,81,2,4,65,2,parallel,0.07122059800167335,True,0.0,0.000575,0.0,0.000975,0.011048394775571069,0.0042709112240117975,0.0031536892893200275,0.0003560120239853859,0.054925054264458595,0.06360072746974765,0.06947237370695802,0.07024803924650769,5.1672683184733614e-05,0.0018938433095172513
73,67,81,2,4,67,2,parallel,0.0735714957518212,True,0.0,0.000575,0.0,0.0009250000000000003,0.011369131771061802,0.004569026237732032,0.0032597075260127895,0.0003947329896618612,0.05684519945498323,0.06561371697534923,0.07184577023508609,0.07259718876957777,5.699673783965409e-05,0.001893068285426125
74,69,81,2,4,69,2,parallel,0.07527634625148494,True,0.0,0.0006000000000000001,0.0,0.0008250000000000002,0.01170431550417561,0.004549601737380726,0.003412600988667691,0.00037665601121261716,0.05806024626872386,0.06750343677049386,0.07354729621147271,0.07431356300003245,5.459769818116911e-05,0.0017577732469362672
75,71,81,2,4,71,2,parallel,0.07718868799929623,True,0.0,0.0006000000000000001,0.0,0.0007000000000000001,0.012049098677380243,0.0047283174681069795,0.0035705929913092405,0.0004017339779238682,0.05932529277561116,0.06941405128236511,0.0753229685324186,0.07621632970767678,5.6123051763279364e-05,0.0015372332454717252
76,73,81,2,4,73,2,parallel,0.0803676492505474,True,0.0,0.0006000000000000001,0.0,0.000675,0.012820583753637038,0.004848425745876739,0.003725803988345433,0.00039893151915748604,0.061578315264341654,0.07249780898928293,0.07862282998758019,0.07937356801630813,0.00015986745711416006,0.0014935565195628442
77,75,81,2,4,75,2,parallel,0.08223935675050598,True,0.0,0.0006000000000000001,0.0,0.000675,0.013041184221947333,0.004978865003067767,0.003711075540195452,0.0004154522357566748,0.06308538800294627,0.0742886102416378,0.08025222799915355,0.08123735475601279,6.069675873732194e-05,0.0014136095342109911
78,77,81,2,4,77,2,parallel,0.08467371650112909,True,0.0,0.0006000000000000001,0.0,0.001175,0.013105904752592323,0.005121533711644588,0.003765949251828715,0.0004326770249463152,0.06560796724807005,0.07572211398291984,0.08289639925351366,0.08366553697487689,6.194747402332723e-05,0.002245968789793551
79,79,81,2,4,79,2,parallel,0.08685653825159534,True,0.0,0.000575,0.0,0.0010500000000000002,0.013457214023219422,0.005249377732980065,0.003846740273729665,0.00043638025817926973,0.06730626521675731,0.0779080852662446,0.08503449974523392,0.08584551101739635,6.46707194391638e-05,0.002102050024404889
