index,n_imgs,maxN,stepN,repN,batch_size,n_threads,name,time,order,wait0_0,wait0_1,wait0_2,wait0_3,wait_0,wait_1,wait_2,wait_3,copy1_0,copy1_1,copy1_2,copy1_3,copy2_0,copy2_1,copy2_2,copy2_3,run_0,run_1,run_2,run_3,ttime_0,ttime_1,ttime_2,ttime_3,wtime_0,wtime_1,wtime_2,wtime_3
63,47,81,2,4,47,4,parallel,0.07286072299939406,True,0.0,0.0006250000000000001,0.0009750000000000002,0.0011750000000000003,0.0,0.01587499999999996,0.023524999999999914,0.025424999999999903,0.008271833498838532,0.002755594247901172,0.0031676810012868373,0.0035619942527773674,0.0028953420032848953,0.0039980602532523335,0.00507557824585092,0.0006179300007715938,0.059154596745429444,0.020826039498388127,0.010887383501540171,0.01695028149879363,0.07058006500119518,0.07094827874880139,0.07130761925145634,0.07143143900611904,4.4124007217760663e-05,0.04316176650081616,0.05198890774954634,0.05022098474364611
64,49,81,2,4,49,4,parallel,0.07628962299986597,True,0.0,0.0007000000000000001,0.0010750000000000004,0.0012750000000000005,0.0,0.01557499999999996,0.023574999999999915,0.026424999999999896,0.008649599248201412,0.0029434627476803144,0.003345951246046752,0.00371831523898436,0.002888216504288721,0.004388172248582123,0.0058140032524534035,0.0006491070071206195,0.062322029997631034,0.023188450256384385,0.013253491256364214,0.014724671747899265,0.07412583724999422,0.07442795325005136,0.07486248899385828,0.07498178649802867,4.1873505324474536e-05,0.04368680024799687,0.0522442984938607,0.055806819760618964
65,51,81,2,4,51,4,parallel,0.07934200874933595,True,0.0,0.0007500000000000002,0.0011000000000000003,0.0013250000000000007,0.0,0.016424999999999957,0.02424999999999991,0.02749999999999989,0.008934390260037617,0.003162204248837952,0.0034861232534240116,0.003923058986401884,0.0028501172519099782,0.0047425862549062,0.005812756249724771,0.0006542300016008085,0.06512937273782882,0.024736782000218227,0.01333436025561241,0.016024082252442895,0.07718949675290787,0.07758510950498021,0.07803642299313651,0.07817179299945565,4.314900252211373e-05,0.04470914375360735,0.05519031523999729,0.05748527350806398
66,53,81,2,4,53,4,parallel,0.08158741825081961,True,0.0,0.0008000000000000001,0.0012500000000000005,0.0014250000000000005,0.0,0.016174999999999957,0.025049999999999906,0.028474999999999886,0.009118857255089097,0.00342477474896441,0.0036632417504733894,0.004009258249425329,0.002912863005803956,0.004795385752004222,0.005859129758391646,0.0006329592597467126,0.06702852025227912,0.02609126224888314,0.01439645574100723,0.01629207299265545,0.07935108325364126,0.079747846747523,0.08019605874596891,0.08033328025612718,4.344874105299823e-05,0.045196580750598514,0.05605663899859792,0.059314493755664444
67,55,81,2,4,55,4,parallel,0.08664864574984676,True,0.0,0.0007000000000000001,0.0010750000000000002,0.0012750000000000003,0.0,0.018449999999999946,0.0255749999999999,0.02924999999999988,0.00944919774246955,0.0032272342477881466,0.004133428005843598,0.004463345253498119,0.002979960995617148,0.005034328254623688,0.006118620250163076,0.0006566309966729023,0.0716800332584171,0.025829269754467532,0.01577101399834646,0.019893167744157836,0.08441116075027821,0.08486262224232632,0.0852914094894004,0.08542690499325545,4.6948501221777406e-05,0.05052382324447535,0.05903270373983105,0.06031893849831249
68,57,81,2,4,57,4,parallel,0.08701738499985368,True,0.0,0.0007750000000000001,0.0011500000000000004,0.0013500000000000005,0.0,0.018199999999999945,0.026924999999999893,0.030499999999999867,0.010066981751151616,0.0034425994990670006,0.00399998250304634,0.0043887962674489245,0.0030023852377780713,0.005094977507724252,0.006083095500798663,0.0007272025022757589,0.07121234400347021,0.026198959747489425,0.014731197001310647,0.0179260012382656,0.08459360375491087,0.08522153725334647,0.08568257375100075,0.08580367074773676,4.774899844051106e-05,0.05022328375525831,0.0606308297446958,0.06266592374049651
69,59,81,2,4,59,4,parallel,0.09150807874993916,True,0.0,0.0007750000000000001,0.0011000000000000003,0.0012750000000000003,0.0,0.019999999999999934,0.029524999999999878,0.030274999999999896,0.01024512624462659,0.0035103720001643524,0.004003433503385168,0.00453151900183002,0.003160232746267866,0.0051337007480469765,0.006303989745902072,0.0006456070077547338,0.07552234550439607,0.02649532575651392,0.01405386350415938,0.022030805500435235,0.08925569500479469,0.0897071072477047,0.0901494924992221,0.09026964076110744,4.989825811207993e-05,0.05428816625044419,0.06554206273904128,0.06296583749826823
70,61,81,2,4,61,4,parallel,0.09297641100056353,True,0.0,0.0007500000000000002,0.0011250000000000003,0.0013250000000000004,0.0,0.020524999999999932,0.030224999999999873,0.03329999999999993,0.0105160672474085,0.0035960194991275785,0.00418007899679651,0.004675589249927725,0.003188281754773925,0.005182799998692644,0.006520382487906318,0.0006610074970012647,0.07663129000502522,0.027129807252094906,0.014556875271409808,0.020020140254928265,0.09068697850580065,0.09118786200724571,0.09162712499801273,0.09174369775610103,5.3222996029944625e-05,0.05499694375612307,0.06611586950020865,0.06628588775674871
71,63,81,2,4,63,4,parallel,0.09584695225021278,True,0.0,0.0007250000000000002,0.0010750000000000002,0.0012750000000000003,0.0,0.021649999999999926,0.031149999999999876,0.034249999999999954,0.010841182008334727,0.0038432630026363768,0.00424045150521124,0.004796284260919492,0.0032424794972030213,0.00522959625141084,0.006451711004956451,0.0007189057496361784,0.07920181324516307,0.02771156750168302,0.01499808574499184,0.021469020996846666,0.09363349024806666,0.0940286297500279,0.09447119224660128,0.09460013750049256,5.377349862101255e-05,0.05696576349419047,0.06851522499709972,0.06750603049567871
72,65,81,2,4,65,4,parallel,0.09853602349994617,True,0.0,0.0007500000000000001,0.0011250000000000003,0.0013000000000000004,0.0,0.021474999999999925,0.030874999999999885,0.03462499999999997,0.011410341510782018,0.003778490008699009,0.004548442253508256,0.00493358200401417,0.003395375244508614,0.005291021757329872,0.006798026255637524,0.0007595295055580209,0.08106193574712961,0.029807652495946968,0.016647792492221924,0.02121985649500857,0.09623339274457976,0.09673074999591336,0.09715738974955457,0.09728093675312266,6.432274312828667e-05,0.05756594399099413,0.06887756225114572,0.07026042325378512
